Epoch,Best_Accuracy,Average_Accuracy,Best_n_estimators,Best_max_depth,Avg_n_estimators,Avg_max_depth,Error
38,0.9474,0.9441,161,26,153.20,28.10,8.908460
39,0.9474,0.9443,161,26,153.35,28.00,8.686258
40,0.9474,0.9448,161,26,153.50,28.00,8.685185
41,0.9474,0.9449,161,26,153.85,27.80,8.247259
42,0.9474,0.9447,161,26,154.90,27.75,7.238212
43,0.9474,0.9447,161,26,154.70,28.40,7.666288
44,0.9474,0.9446,161,26,153.95,28.70,8.272588
45,0.9474,0.9454,161,26,153.35,28.65,9.014241
46,0.9474,0.9450,161,26,152.95,28.35,9.796777
47,0.9474,0.9451,161,26,153.35,27.65,8.649850
48,0.9474,0.9448,161,26,153.65,27.60,8.243385
49,0.9474,0.9448,161,26,153.10,28.10,9.280469
50,0.9474,0.9450,161,26,153.70,28.20,8.723961
51,0.9474,0.9454,161,26,153.60,28.00,8.388040
52,0.9474,0.9449,161,26,153.20,27.70,8.630020
53,0.9474,0.9451,161,26,153.55,28.15,8.328231
54,0.9474,0.9452,161,26,154.15,28.30,7.995314
55,0.9474,0.9450,161,26,154.15,28.45,8.623580
56,0.9474,0.9453,161,26,153.85,28.20,8.385535
57,0.9474,0.9456,161,26,152.85,28.10,8.982568
58,0.9474,0.9452,161,26,152.70,27.55,8.752497
59,0.9474,0.9450,161,26,153.85,28.00,7.946769
60,0.9474,0.9452,161,26,154.20,28.35,8.262852
61,0.9474,0.9453,161,26,154.05,28.10,8.546821
62,0.9474,0.9452,161,26,153.25,27.80,9.163295
63,0.9474,0.9453,161,26,152.95,28.05,9.224371
64,0.9474,0.9457,161,26,152.60,27.80,8.837581
65,0.9474,0.9451,161,26,153.00,27.70,8.699912
66,0.9474,0.9453,161,26,153.35,27.45,9.327380
67,0.9474,0.9455,161,26,153.60,27.60,8.680706
68,0.9474,0.9450,161,26,152.40,27.55,9.162722
69,0.9474,0.9457,161,26,152.80,28.00,8.579313
70,0.9474,0.9453,161,26,153.30,28.35,8.793488
71,0.9474,0.9452,161,26,154.30,28.10,8.384580
72,0.9474,0.9452,161,26,153.60,27.85,8.677986
73,0.9474,0.9456,161,26,152.55,27.55,9.002499
74,0.9474,0.9458,161,26,152.45,27.60,8.857254
75,0.9474,0.9453,161,26,153.20,27.65,8.422988
76,0.9474,0.9455,161,26,153.35,27.45,9.107355
77,0.9474,0.9454,161,26,153.85,27.45,9.161912
78,0.9474,0.9454,161,26,153.45,27.40,8.734747
79,0.9474,0.9455,161,26,152.55,27.60,8.799473
80,0.9474,0.9455,161,26,153.55,27.75,7.990513
81,0.9474,0.9455,161,26,153.95,27.75,8.004453
82,0.9474,0.9454,161,26,153.80,27.50,8.513321
83,0.9474,0.9453,161,26,153.35,28.00,8.566515
84,0.9474,0.9455,161,26,153.15,28.40,8.590267
85,0.9474,0.9456,161,26,153.00,28.10,8.753832
86,0.9474,0.9456,161,26,152.65,27.95,9.210054
87,0.9474,0.9457,161,26,153.05,27.60,8.950851
88,0.9474,0.9452,161,26,153.45,27.80,8.726886
89,0.9474,0.9458,161,26,153.55,28.00,8.353107
90,0.9474,0.9455,161,26,153.95,28.15,7.965625
91,0.9474,0.9459,161,26,153.40,27.90,8.033202
92,0.9474,0.9458,161,26,153.80,27.85,7.843242
93,0.9474,0.9456,161,26,154.05,27.70,7.676781
94,0.9474,0.9458,161,26,154.00,27.80,7.999362
95,0.9474,0.9457,161,26,154.45,27.95,7.425012
96,0.9474,0.9457,161,26,154.15,27.80,7.302376
97,0.9474,0.9456,161,26,154.25,27.50,7.127006
98,0.9474,0.9460,161,26,154.00,26.95,7.227191
99,0.9474,0.9455,161,26,154.60,27.00,7.067910
