Epoch,Best_Accuracy,Average_Accuracy,Best_n_estimators,Best_max_depth,Avg_n_estimators,Avg_max_depth,Error
0,0.9451,0.9273,76,41,114.97,27.05,50.632751
1,0.9443,0.9364,76,41,113.33,28.55,46.309329
2,0.9451,0.9394,76,41,110.95,29.98,41.908569
3,0.9451,0.9408,76,41,108.80,31.57,37.701982
4,0.9451,0.9423,76,41,106.97,33.52,34.075692
5,0.9451,0.9432,76,41,105.08,34.92,31.157405
6,0.9451,0.9436,76,41,102.72,35.85,28.278047
7,0.9451,0.9433,76,41,100.58,36.30,25.967401
8,0.9451,0.9435,76,41,99.20,36.98,24.313780
9,0.9451,0.9434,76,41,97.25,37.55,22.148832
10,0.9451,0.9437,76,41,95.28,37.80,20.213628
11,0.9451,0.9437,76,41,94.45,37.95,19.282032
12,0.9451,0.9439,76,41,93.20,37.85,18.144249
13,0.9451,0.9439,76,41,92.25,37.58,17.362421
14,0.9451,0.9439,76,41,92.30,38.20,17.138887
15,0.9451,0.9441,76,41,91.60,38.88,16.232114
16,0.9451,0.9441,76,41,90.72,38.80,15.586289
17,0.9458,0.9441,116,31,91.03,38.10,28.661290
18,0.9451,0.9434,116,31,95.00,36.20,25.291506
19,0.9451,0.9431,116,31,99.47,35.00,22.211790
20,0.9458,0.9436,116,31,103.35,34.15,19.373976
21,0.9451,0.9436,116,31,106.08,33.92,17.257899
22,0.9458,0.9437,116,31,107.83,34.17,15.788451
23,0.9458,0.9440,116,31,108.97,33.88,15.032195
24,0.9458,0.9439,116,31,108.15,33.70,15.730129
25,0.9458,0.9440,116,31,107.72,33.45,15.510765
26,0.9458,0.9439,116,31,108.42,33.50,14.851121
27,0.9458,0.9440,116,31,108.53,33.92,14.871961
28,0.9458,0.9441,116,31,108.38,33.88,15.694140
29,0.9458,0.9440,116,31,108.85,33.62,15.445273
30,0.9458,0.9441,116,31,109.88,33.58,14.575504
31,0.9458,0.9442,116,31,108.85,33.52,14.635312
32,0.9458,0.9439,116,31,108.67,33.62,14.013287
33,0.9458,0.9441,116,31,108.60,33.38,13.877930
34,0.9458,0.9440,116,31,108.90,33.58,13.460620
35,0.9458,0.9440,116,31,109.30,33.70,12.963356
36,0.9458,0.9440,116,31,109.08,33.30,13.542926
37,0.9458,0.9440,116,31,108.53,33.23,13.632944
38,0.9458,0.9440,116,31,108.78,33.00,12.844901
39,0.9458,0.9443,116,31,109.08,33.10,13.066520
40,0.9458,0.9440,116,31,109.35,33.12,12.401230
41,0.9458,0.9442,116,31,108.38,33.25,13.394156
42,0.9458,0.9440,116,31,108.47,33.08,13.621405
43,0.9458,0.9440,116,31,109.05,32.88,13.597691
44,0.9458,0.9440,116,31,109.45,33.00,13.285561
45,0.9458,0.9440,116,31,109.55,32.90,13.644155
46,0.9458,0.9441,116,31,109.80,33.05,12.493091
47,0.9458,0.9442,116,31,109.55,33.15,13.156948
48,0.9458,0.9440,116,31,110.10,33.30,13.342988
49,0.9458,0.9441,116,31,108.88,33.60,13.423509
50,0.9458,0.9442,116,31,108.80,33.30,13.583446
51,0.9458,0.9441,116,31,109.20,33.40,13.568964
52,0.9458,0.9440,116,31,109.20,33.45,13.654972
53,0.9458,0.9440,116,31,109.80,33.33,12.550616
54,0.9458,0.9441,116,31,111.10,33.12,11.746218
55,0.9458,0.9441,116,31,111.67,33.35,11.009466
56,0.9458,0.9441,116,31,111.28,33.70,11.161818
57,0.9458,0.9442,116,31,111.33,33.60,11.518025
58,0.9458,0.9441,116,31,110.80,33.35,11.870462
59,0.9458,0.9441,116,31,110.30,33.12,12.667579
60,0.9458,0.9442,116,31,109.83,32.90,13.243742
61,0.9458,0.9440,116,31,109.97,33.02,12.977649
62,0.9458,0.9441,116,31,109.78,33.23,12.838293
63,0.9458,0.9442,116,31,109.67,33.35,12.752778
64,0.9458,0.9441,116,31,110.17,33.17,12.381350
65,0.9458,0.9442,116,31,109.75,33.12,12.830652
66,0.9458,0.9441,116,31,109.22,32.95,13.495997
67,0.9458,0.9441,116,31,109.50,32.92,13.575203
68,0.9458,0.9442,116,31,109.95,32.98,13.299059
69,0.9458,0.9442,116,31,110.10,33.17,12.638232
70,0.9458,0.9442,116,31,109.33,33.35,12.805498
71,0.9458,0.9441,116,31,109.17,33.60,13.390661
72,0.9458,0.9441,116,31,108.85,33.42,13.272592
73,0.9458,0.9442,116,31,109.58,33.02,12.251945
74,0.9458,0.9442,116,31,109.80,32.80,12.392247
75,0.9458,0.9441,116,31,108.60,33.15,12.597229
76,0.9458,0.9441,116,31,109.40,33.00,12.597660
77,0.9458,0.9441,116,31,109.67,33.15,12.371029
78,0.9458,0.9442,116,31,110.20,33.25,11.837298
79,0.9458,0.9442,116,31,109.05,33.45,13.249116
80,0.9458,0.9441,116,31,108.65,33.17,13.499293
81,0.9458,0.9442,116,31,108.47,32.80,13.673707
82,0.9458,0.9442,116,31,108.83,33.10,13.410767
83,0.9458,0.9440,116,31,109.42,33.20,12.889531
84,0.9458,0.9441,116,31,109.92,33.08,12.242583
85,0.9458,0.9443,116,31,109.72,33.40,12.887936
86,0.9458,0.9442,116,31,109.40,33.30,13.215401
87,0.9458,0.9442,116,31,110.08,33.30,12.474886
88,0.9458,0.9441,116,31,110.38,33.33,11.765758
89,0.9458,0.9444,116,31,110.03,32.88,11.931412
90,0.9458,0.9442,116,31,109.95,32.62,11.974794
91,0.9458,0.9441,116,31,109.40,32.75,12.108813
92,0.9458,0.9443,116,31,108.38,33.33,13.036997
93,0.9458,0.9441,116,31,108.78,33.38,12.812145
94,0.9458,0.9441,116,31,108.60,33.02,12.857635
95,0.9458,0.9442,116,31,109.15,33.02,13.238762
96,0.9458,0.9441,116,31,109.22,32.88,12.853594
97,0.9458,0.9442,116,31,108.80,33.27,12.451464
98,0.9458,0.9442,116,31,108.67,33.25,12.217169
99,0.9458,0.9442,116,31,108.80,33.45,12.955315
