Epoch,Best_Accuracy,Average_Accuracy,Best_n_estimators,Best_max_depth,Avg_n_estimators,Avg_max_depth,Error
64,0.9466,0.9448,155,26,143.70,28.15,12.534771
65,0.9466,0.9449,155,26,144.35,28.75,12.411402
66,0.9466,0.9449,155,26,143.70,28.20,13.057362
67,0.9466,0.9449,155,26,144.20,28.20,12.037130
68,0.9466,0.9447,155,26,142.75,28.15,13.225708
69,0.9466,0.9449,155,26,143.00,28.50,13.048512
70,0.9466,0.9450,155,26,143.45,29.05,13.191536
71,0.9466,0.9449,155,26,144.10,28.75,13.002252
72,0.9466,0.9449,155,26,142.90,28.30,13.808914
73,0.9466,0.9451,155,26,142.35,28.30,14.138790
74,0.9466,0.9449,155,26,142.35,28.30,13.688729
75,0.9466,0.9450,155,26,142.15,28.05,13.428123
76,0.9466,0.9449,155,26,142.35,27.65,12.981759
77,0.9466,0.9449,155,26,143.35,27.75,12.467983
78,0.9466,0.9450,155,26,142.75,27.70,13.757347
79,0.9466,0.9452,155,26,142.00,28.05,13.989305
80,0.9466,0.9450,155,26,143.75,28.35,12.851070
81,0.9466,0.9449,155,26,144.10,28.55,12.513287
82,0.9466,0.9450,155,26,143.05,28.10,13.012066
83,0.9466,0.9448,155,26,142.50,28.75,14.121925
84,0.9466,0.9449,155,26,142.60,28.80,13.568400
85,0.9466,0.9450,155,26,142.25,28.40,14.294243
86,0.9466,0.9448,155,26,141.50,28.20,14.466190
87,0.9466,0.9450,155,26,141.85,28.10,13.805468
88,0.9466,0.9450,155,26,142.20,28.65,13.995525
89,0.9466,0.9451,155,26,143.20,28.90,13.581136
90,0.9466,0.9449,155,26,143.70,28.85,12.634192
91,0.9466,0.9449,155,26,143.45,28.70,12.448452
92,0.9466,0.9448,155,26,144.45,28.60,11.900226
93,0.9466,0.9451,155,26,144.60,28.50,11.769851
94,0.9466,0.9446,155,26,143.65,28.65,13.027089
95,0.9466,0.9450,155,26,144.20,28.80,12.739047
96,0.9466,0.9450,155,26,143.90,28.55,12.499390
97,0.9466,0.9450,155,26,143.65,28.15,12.203622
98,0.9466,0.9450,155,26,143.60,27.60,12.613583
99,0.9466,0.9450,155,26,144.85,27.60,11.643843
