Population,Mutation_rate,Crossover_rate,tournament_size,Generation,Best_Accuracy,Average_Accuracy,Best_n_estimators,Best_max_depth,Avg_n_estimators,Avg_max_depth,Error_avg_accuracy
50,0.5,0.5,5,0,0.9473684210526315,0.9177879481311976,192,27,90.14,30.52,0.08221205186880243
50,0.5,0.5,5,1,0.9458428680396643,0.9305720823798626,106,35,117.08,34.32,0.06942791762013745
50,0.5,0.5,5,2,0.9458428680396643,0.9269412662090006,125,46,122.0,33.72,0.07305873379099936
50,0.5,0.5,5,3,0.9458428680396643,0.9383066361556064,125,46,115.34,37.38,0.06169336384439361
50,0.5,0.5,5,4,0.9466056445461479,0.9132875667429442,110,47,118.64,31.4,0.0867124332570558
50,0.5,0.5,5,5,0.9458428680396643,0.9308924485125856,94,31,122.92,32.72,0.06910755148741443
50,0.5,0.5,5,6,0.9466056445461479,0.9267276887871851,125,31,128.48,31.6,0.07327231121281486
50,0.5,0.5,5,7,0.9466056445461479,0.913806254767353,105,31,130.32,29.82,0.086193745232647
50,0.5,0.5,5,8,0.9466056445461479,0.923295194508009,105,31,127.56,33.9,0.07670480549199099
50,0.5,0.5,5,9,0.9466056445461479,0.924973302822273,105,31,118.92,32.16,0.07502669717772703
50,0.5,0.5,5,10,0.9466056445461479,0.9271700991609458,105,31,114.66,31.74,0.07282990083905416
50,0.5,0.5,5,11,0.9466056445461479,0.9048665141113653,105,31,121.8,28.7,0.09513348588863468
50,0.5,0.5,5,12,0.9466056445461479,0.9340655987795574,105,31,120.4,30.56,0.06593440122044258
50,0.5,0.5,5,13,0.9466056445461479,0.9305415713196032,105,31,119.08,32.48,0.06945842868039676
50,0.5,0.5,5,14,0.9466056445461479,0.931060259344012,110,41,123.0,32.24,0.06893974065598796
50,0.5,0.5,5,15,0.9473684210526315,0.924317315026697,108,31,119.26,28.52,0.075682684973303
50,0.5,0.5,5,16,0.9473684210526315,0.9341723874904652,108,31,115.42,30.96,0.06582761250953484
50,0.5,0.5,5,17,0.9473684210526315,0.9092601067887108,108,31,107.8,24.68,0.09073989321128917
50,0.5,0.5,5,18,0.9473684210526315,0.9327841342486651,108,31,115.8,29.9,0.06721586575133487
50,0.5,0.5,5,19,0.9473684210526315,0.9292295957284514,108,31,119.82,31.26,0.07077040427154857
50,0.5,0.5,5,20,0.9473684210526315,0.9283447749809305,108,31,121.12,30.62,0.07165522501906951
50,0.5,0.5,5,21,0.9481311975591151,0.9405034324942789,107,31,122.8,29.76,0.059496567505721076
50,0.5,0.5,5,22,0.9473684210526315,0.9191304347826086,108,31,116.96,28.84,0.08086956521739141
50,0.5,0.5,5,23,0.9481311975591151,0.9284515636918382,107,31,121.0,29.06,0.07154843630816177
50,0.5,0.5,5,24,0.9481311975591151,0.93720823798627,107,31,120.72,31.18,0.06279176201373005
50,0.5,0.5,5,25,0.9481311975591151,0.9098398169336384,107,31,123.0,27.68,0.09016018306636164
50,0.5,0.5,5,26,0.9481311975591151,0.919298245614035,107,31,120.16,25.22,0.08070175438596505
50,0.5,0.5,5,27,0.9481311975591151,0.9146910755148739,107,31,119.32,26.48,0.08530892448512606
50,0.5,0.5,5,28,0.9473684210526315,0.9244088482074752,108,31,117.2,29.04,0.07559115179252485
50,0.5,0.5,5,29,0.9473684210526315,0.92697177726926,108,31,119.52,28.48,0.07302822273073994
