Population,Mutation_rate,Crossover_rate,tournament_size,Generation,Best_Accuracy,Average_Accuracy,Best_n_estimators,Best_max_depth,Avg_n_estimators,Avg_max_depth,Error_avg_accuracy
25,0.5,0.5,5,0,0.9458428680396643,0.9191456903127384,118,43,93.0,21.96,0.0808543096872616
25,0.5,0.5,5,1,0.9466056445461479,0.9036460717009916,115,31,114.64,27.2,0.09635392829900835
25,0.5,0.5,5,2,0.9473684210526315,0.9249733028222731,197,27,124.64,29.08,0.07502669717772692
25,0.5,0.5,5,3,0.9458428680396643,0.9214950419527078,118,43,128.84,32.08,0.07850495804729218
25,0.5,0.5,5,4,0.9458428680396643,0.9019984744469869,97,40,120.08,30.52,0.09800152555301311
25,0.5,0.5,5,5,0.9458428680396643,0.9329366895499618,97,46,118.04,32.84,0.06706331045003822
25,0.5,0.5,5,6,0.9458428680396643,0.9415713196033562,126,33,112.88,34.04,0.05842868039664384
25,0.5,0.5,5,7,0.9458428680396643,0.934553775743707,97,48,120.24,36.52,0.06544622425629298
25,0.5,0.5,5,8,0.9458428680396643,0.9431578947368421,97,40,129.8,38.0,0.056842105263157916
25,0.5,0.5,5,9,0.9458428680396643,0.9421815408085432,97,40,113.16,36.88,0.057818459191456784
25,0.5,0.5,5,10,0.9458428680396643,0.9063310450038139,126,41,137.48,31.4,0.0936689549961861
25,0.5,0.5,5,11,0.9458428680396643,0.9391609458428679,97,40,111.88,34.36,0.06083905415713209
25,0.5,0.5,5,12,0.9458428680396643,0.9423951182303584,117,40,107.52,32.64,0.057604881769641625
25,0.5,0.5,5,13,0.9466056445461479,0.9309839816933638,97,31,127.16,29.56,0.06901601830663617
25,0.5,0.5,5,14,0.9466056445461479,0.9385202135774218,97,31,117.52,33.8,0.06147978642257823
25,0.5,0.5,5,15,0.9458428680396643,0.8954691075514875,97,45,112.04,28.92,0.10453089244851255
25,0.5,0.5,5,16,0.9466056445461479,0.9423035850495804,127,31,119.64,33.16,0.05769641495041955
25,0.5,0.5,5,17,0.9466056445461479,0.9050800915331807,127,31,111.56,31.08,0.0949199084668193
25,0.5,0.5,5,18,0.9466056445461479,0.9405034324942793,97,31,124.56,35.84,0.05949656750572074
25,0.5,0.5,5,19,0.9466056445461479,0.9419374523264683,110,46,111.88,37.96,0.058062547673531695
25,0.5,0.5,5,20,0.9466056445461479,0.9157589626239512,110,46,105.08,34.4,0.08424103737604882
25,0.5,0.5,5,21,0.9466056445461479,0.933821510297483,97,31,116.4,30.68,0.06617848970251705
25,0.5,0.5,5,22,0.9466056445461479,0.9249427917620138,97,31,111.6,24.96,0.07505720823798623
25,0.5,0.5,5,23,0.9466056445461479,0.925766590389016,97,31,129.88,28.68,0.07423340961098401
25,0.5,0.5,5,24,0.9466056445461479,0.8940961098398168,97,31,127.24,25.08,0.1059038901601832
25,0.5,0.5,5,25,0.9466056445461479,0.9299466056445462,97,31,113.88,28.44,0.07005339435545377
25,0.5,0.5,5,26,0.9466056445461479,0.9300076277650647,97,31,103.32,31.76,0.06999237223493526
25,0.5,0.5,5,27,0.9466056445461479,0.9132265446224256,97,31,108.44,26.52,0.08677345537757442
25,0.5,0.5,5,28,0.9466056445461479,0.9336079328756675,110,31,112.44,28.8,0.06639206712433254
25,0.5,0.5,5,29,0.9466056445461479,0.8990083905415714,110,31,110.64,29.56,0.10099160945842856
