Population,Mutation_rate,Crossover_rate,tournament_size,Generation,Best_Accuracy,Average_Accuracy,Best_n_estimators,Best_max_depth,Avg_n_estimators,Avg_max_depth,Error_avg_accuracy
50,0.5,0.5,5,0,0.9466056445461479,0.9102059496567506,110,45,73.7,32.42,0.08979405034324939
50,0.5,0.5,5,1,0.9466056445461479,0.938749046529367,110,45,102.12,35.26,0.06125095347063303
50,0.5,0.5,5,2,0.9466056445461479,0.9172692601067887,110,46,124.66,31.24,0.08273073989321134
50,0.5,0.5,5,3,0.9466056445461479,0.9183066361556063,110,44,120.48,32.28,0.08169336384439374
50,0.5,0.5,5,4,0.9466056445461479,0.9143859649122806,110,46,119.0,29.64,0.08561403508771936
50,0.5,0.5,5,5,0.9466056445461479,0.9234477498093058,110,46,126.38,32.16,0.07655225019069423
50,0.5,0.5,5,6,0.9473684210526315,0.9318840579710145,189,27,119.36,33.96,0.06811594202898552
50,0.5,0.5,5,7,0.9473684210526315,0.9301906941266208,189,27,122.66,34.16,0.06980930587337919
50,0.5,0.5,5,8,0.9473684210526315,0.919481311975591,189,27,128.62,31.12,0.08051868802440898
50,0.5,0.5,5,9,0.9473684210526315,0.9323874904652937,189,27,134.84,30.86,0.06761250953470632
50,0.5,0.5,5,10,0.9473684210526315,0.931395881006865,189,27,127.82,33.72,0.06860411899313501
50,0.5,0.5,5,11,0.9473684210526315,0.9333790999237224,189,27,128.02,28.34,0.06662090007627763
50,0.5,0.5,5,12,0.9473684210526315,0.9264073226544625,189,27,116.2,28.22,0.07359267734553754
50,0.5,0.5,5,13,0.9466056445461479,0.9308466819221967,110,46,134.54,30.38,0.06915331807780334
50,0.5,0.5,5,14,0.9466056445461479,0.9305263157894735,110,40,123.48,31.7,0.06947368421052647
50,0.5,0.5,5,15,0.9466056445461479,0.9093363844393592,110,40,120.32,29.62,0.09066361556064084
50,0.5,0.5,5,16,0.9466056445461479,0.9293516399694888,110,39,114.04,33.02,0.07064836003051123
50,0.5,0.5,5,17,0.9466056445461479,0.9081159420289854,110,39,115.14,29.76,0.09188405797101462
50,0.5,0.5,5,18,0.9466056445461479,0.924088482074752,110,37,120.08,33.22,0.07591151792524797
50,0.5,0.5,5,19,0.9466056445461479,0.9316857360793287,110,47,116.78,33.18,0.0683142639206713
50,0.5,0.5,5,20,0.9466056445461479,0.9292143401983219,110,37,120.68,35.58,0.07078565980167806
50,0.5,0.5,5,21,0.9466056445461479,0.9261479786422577,110,46,117.7,30.68,0.07385202135774227
50,0.5,0.5,5,22,0.9466056445461479,0.9227917620137299,110,41,120.16,34.44,0.07720823798627008
50,0.5,0.5,5,23,0.9466056445461479,0.9308161708619375,110,37,134.38,34.48,0.06918382913806254
50,0.5,0.5,5,24,0.9466056445461479,0.9232799389778795,110,46,121.96,31.98,0.07672006102212048
50,0.5,0.5,5,25,0.9466056445461479,0.9369488939740657,110,41,114.62,32.6,0.06305110602593433
50,0.5,0.5,5,26,0.9466056445461479,0.9293058733790999,110,38,120.88,36.74,0.07069412662090013
50,0.5,0.5,5,27,0.9473684210526315,0.9340808543096871,109,31,123.92,31.94,0.06591914569031287
50,0.5,0.5,5,28,0.9473684210526315,0.9297635392829899,109,31,111.38,35.66,0.07023646071701006
50,0.5,0.5,5,29,0.9473684210526315,0.9094584286803965,109,31,124.08,31.4,0.0905415713196035
